,LenBinStart,RateAOverlapByB,RateBOverlapByA,Maf,MinSnp
4,18,0.99021554,0.9938206,0.1,3
5,genome_wide,0.30079612,0.9506367,0.1,3
0,3,0.33627898,0.9430066,0.1,15
1,4,0.73181593,0.95338696,0.1,15
2,6,0.9299497,0.9711817,0.1,15
3,10,0.97737443,0.9844584,0.1,15
4,18,0.99021554,0.9938206,0.1,15
5,genome_wide,0.30079612,0.9506367,0.1,15
0,3,0.33627898,0.9430066,0.1,20
1,4,0.73181593,0.95338696,0.1,20
2,6,0.9299497,0.9711817,0.1,20
3,10,0.97737443,0.9844584,0.1,20
4,18,0.99021554,0.9938206,0.1,20
5,genome_wide,0.30079612,0.9506367,0.1,20
0,3,0.0022244062,,0.03,160
1,4,0.0064130966,0.8991402,0.03,160
2,6,0.4013645,0.9735807,0.03,160
3,10,0.97575665,0.98474616,0.03,160
4,18,0.99076027,0.9941192,0.03,160
5,genome_wide,0.066448644,0.98109126,0.03,160
0,3,0.02797328,0.9356441,0.0,3
1,4,0.05963237,0.9407486,0.0,3
2,6,0.14991409,0.9428131,0.0,3
3,10,0.41950303,0.9367288,0.0,3
4,18,0.80623114,0.952028,0.0,3
5,genome_wide,0.051343914,0.9089828,0.0,3
0,3,0.29385284,0.9381446,0.01,10
1,4,0.5832899,0.9461903,0.01,10
2,6,0.85592806,0.9602775,0.01,10
3,10,0.96561885,0.98082894,0.01,10
4,18,0.9884318,0.9931768,0.01,10
5,genome_wide,0.2695611,0.93853563,0.01,10
0,3,0.006082335,0.80502623,0.1,80
1,4,0.10851797,0.95924467,0.1,80
2,6,0.8167845,0.9716496,0.1,80
3,10,0.97737443,0.9844584,0.1,80
4,18,0.99021554,0.9938206,0.1,80
5,genome_wide,0.110191904,0.9748097,0.1,80
0,3,0.02797328,0.9356441,0.0,10
1,4,0.05963237,0.9407486,0.0,10
2,6,0.14991409,0.9428131,0.0,10
3,10,0.41950303,0.9367288,0.0,10
4,18,0.80623114,0.952028,0.0,10
5,genome_wide,0.051343914,0.9089828,0.0,10
0,3,0.38182563,0.94031113,0.03,10
1,4,0.7074937,0.9498251,0.03,10
2,6,0.9087267,0.9687692,0.03,10
3,10,0.9760642,0.98474616,0.03,10
4,18,0.99076027,0.9941192,0.03,10
5,genome_wide,0.3190737,0.94131595,0.03,10
0,3,0.31786215,0.9430878,0.1,40
1,4,0.7285314,0.95338696,0.1,40
2,6,0.9298499,0.9711817,0.1,40
3,10,0.97737443,0.9844584,0.1,40
4,18,0.99021554,0.9938206,0.1,40
5,genome_wide,0.2889832,0.95402515,0.1,40
0,3,0.02797328,0.9356441,0.0,160
1,4,0.059558332,0.9407486,0.0,160
2,6,0.14982939,0.9428131,0.0,160
3,10,0.41950303,0.9367288,0.0,160
4,18,0.80623114,0.952028,0.0,160
5,genome_wide,0.05030313,0.9163243,0.0,160
0,3,0.38182563,0.94031113,0.03,1
1,4,0.7074937,0.9498251,0.03,1
2,6,0.9087267,0.9687692,0.03,1
3,10,0.9760642,0.98474616,0.03,1
4,18,0.99076027,0.9941192,0.03,1
5,genome_wide,0.3190737,0.94131595,0.03,1
0,3,0.26170084,0.9384314,0.01,80
1,4,0.5742966,0.9461903,0.01,80
2,6,0.85456306,0.9602775,0.01,80
3,10,0.96561885,0.98082894,0.01,80
4,18,0.9884318,0.9931768,0.01,80
5,genome_wide,0.24550882,0.94941765,0.01,80
0,3,0.02797328,0.9356441,0.0,1
1,4,0.05963237,0.9407486,0.0,1
2,6,0.14991409,0.9428131,0.0,1
3,10,0.41950303,0.9367288,0.0,1
4,18,0.80623114,0.952028,0.0,1
5,genome_wide,0.051343914,0.9089828,0.0,1
0,3,0.33627898,0.9430066,0.1,10
1,4,0.73181593,0.95338696,0.1,10
2,6,0.9299497,0.9711817,0.1,10
3,10,0.97737443,0.9844584,0.1,10
4,18,0.99021554,0.9938206,0.1,10
5,genome_wide,0.30079612,0.9506367,0.1,10
0,3,0.33627898,0.9430066,0.1,1
1,4,0.73181593,0.95338696,0.1,1
2,6,0.9299497,0.9711817,0.1,1
3,10,0.97737443,0.9844584,0.1,1
4,18,0.99021554,0.9938206,0.1,1
5,genome_wide,0.30079612,0.9506367,0.1,1
0,3,0.02797328,0.9356441,0.0,80
1,4,0.05963237,0.9407486,0.0,80
2,6,0.14991409,0.9428131,0.0,80
3,10,0.41950303,0.9367288,0.0,80
4,18,0.80623114,0.952028,0.0,80
5,genome_wide,0.051343914,0.9089828,0.0,80
0,3,0.38178262,0.94031113,0.03,40
1,4,0.7074937,0.9498251,0.03,40
2,6,0.9087267,0.9687692,0.03,40
3,10,0.9760642,0.98474616,0.03,40
4,18,0.99076027,0.9941192,0.03,40
5,genome_wide,0.3190149,0.94145125,0.03,40
0,3,0.0058436412,,0.01,160
1,4,0.10686817,0.94912875,0.01,160
2,6,0.75978106,0.96042895,0.01,160
3,10,0.9651893,0.98082894,0.01,160
4,18,0.9884318,0.9931768,0.01,160
5,genome_wide,0.105473906,0.9665156,0.01,160
0,3,0.02797328,0.9356441,0.0,40
1,4,0.05963237,0.9407486,0.0,40
2,6,0.14991409,0.9428131,0.0,40
3,10,0.41950303,0.9367288,0.0,40
4,18,0.80623114,0.952028,0.0,40
5,genome_wide,0.051343914,0.9089828,0.0,40
0,3,0.022193233,0.93099946,0.3,20
1,4,0.15640815,0.9404113,0.3,20
2,6,0.71291894,0.9543366,0.3,20
3,10,0.9559783,0.97346145,0.3,20
4,18,0.98018813,0.98822445,0.3,20
5,genome_wide,0.11323838,0.95503706,0.3,20
0,3,0.14651674,0.94011545,0.03,80
1,4,0.61931086,0.95002437,0.03,80
2,6,0.9054657,0.9687692,0.03,80
3,10,0.9760642,0.98474616,0.03,80
4,18,0.99076027,0.9941192,0.03,80
5,genome_wide,0.2187974,0.95933235,0.03,80
0,3,0.29385284,0.9381446,0.01,1
1,4,0.5832899,0.9461903,0.01,1
2,6,0.85592806,0.9602775,0.01,1
3,10,0.96561885,0.98082894,0.01,1
4,18,0.9884318,0.9931768,0.01,1
5,genome_wide,0.2695611,0.93853563,0.01,1
0,3,0.027150624,0.90717775,0.3,15
1,4,0.15926589,0.93957347,0.3,15
2,6,0.713003,0.9543366,0.3,15
3,10,0.9559783,0.97346145,0.3,15
4,18,0.98018813,0.98822445,0.3,15
5,genome_wide,0.1152294,0.9510662,0.3,15
0,3,0.027150624,0.90717775,0.3,1
1,4,0.15926589,0.93957347,0.3,1
2,6,0.713003,0.9543366,0.3,1
3,10,0.9559783,0.97346145,0.3,1
4,18,0.98018813,0.98822445,0.3,1
5,genome_wide,0.115241766,0.95078635,0.3,1
0,3,0.29385284,0.9381446,0.01,40
1,4,0.5832899,0.9461903,0.01,40
2,6,0.85592806,0.9602775,0.01,40
3,10,0.96561885,0.98082894,0.01,40
4,18,0.9884318,0.9931768,0.01,40
5,genome_wide,0.2695611,0.93853563,0.01,40
