,LenBinStart,RateAOverlapByB,RateBOverlapByA,Maf,MinSnp
4,18,0.3298385,0.9921505,0.3,160
5,genome_wide,0.021690324,0.99213064,0.3,160
0,3,0.33766544,0.9265216,0.03,15
1,4,0.6233819,0.93980527,0.03,15
2,6,0.8540513,0.9597549,0.03,15
3,10,0.96942455,0.9796875,0.03,15
4,18,0.9907641,0.99180824,0.03,15
5,genome_wide,0.4732789,0.9487422,0.03,15
0,3,0.0065915883,,0.03,160
1,4,0.014628319,0.94644964,0.03,160
2,6,0.38040522,0.96532845,0.03,160
3,10,0.96743137,0.9796875,0.03,160
4,18,0.99075705,0.99180824,0.03,160
5,genome_wide,0.20403132,0.97673035,0.03,160
0,3,0.27636835,0.9277636,0.01,1
1,4,0.5479869,0.9386538,0.01,1
2,6,0.81355673,0.95586777,0.01,1
3,10,0.9621698,0.97780293,0.01,1
4,18,0.9897125,0.99114597,0.01,1
5,genome_wide,0.43480936,0.9485502,0.01,1
0,3,0.30811164,0.92548436,0.1,15
1,4,0.6639796,0.9426376,0.1,15
2,6,0.8836209,0.9615172,0.1,15
3,10,0.9729008,0.9798536,0.1,15
4,18,0.9901175,0.9915382,0.1,15
5,genome_wide,0.47552484,0.95173657,0.1,15
0,3,0.032987643,0.9127519,0.3,1
1,4,0.15919825,0.9417515,0.3,1
2,6,0.688151,0.9518493,0.3,1
3,10,0.9527404,0.96778554,0.3,1
4,18,0.97968733,0.9860718,0.3,1
5,genome_wide,0.2817975,0.95703316,0.3,1
0,3,0.30811164,0.92548436,0.1,20
1,4,0.6639796,0.9426376,0.1,20
2,6,0.8836209,0.9615172,0.1,20
3,10,0.9729008,0.9798536,0.1,20
4,18,0.9901175,0.9915382,0.1,20
5,genome_wide,0.47552484,0.95173657,0.1,20
0,3,0.21889077,0.9288692,0.0,1
1,4,0.47246647,0.93704563,0.0,1
2,6,0.76795405,0.9520738,0.0,1
3,10,0.95009744,0.9749097,0.0,1
4,18,0.9873436,0.9906134,0.0,1
5,genome_wide,0.39636347,0.94815224,0.0,1
0,3,0.032987643,0.9127519,0.3,10
1,4,0.15919825,0.9417515,0.3,10
2,6,0.688151,0.9518493,0.3,10
3,10,0.9527404,0.96778554,0.3,10
4,18,0.97968733,0.9860718,0.3,10
5,genome_wide,0.2817975,0.95703316,0.3,10
0,3,0.0019423518,,0.1,160
1,4,0.0038088202,,0.1,160
2,6,0.01296797,0.9747468,0.1,160
3,10,0.58146995,0.98258114,0.1,160
4,18,0.99010456,0.9915382,0.1,160
5,genome_wide,0.110767365,0.98643726,0.1,160
0,3,0.30811164,0.92548436,0.1,1
1,4,0.6639796,0.9426376,0.1,1
2,6,0.8836209,0.9615172,0.1,1
3,10,0.9729008,0.9798536,0.1,1
4,18,0.9901175,0.9915382,0.1,1
5,genome_wide,0.47552484,0.95173657,0.1,1
0,3,0.290419,0.92489076,0.1,40
1,4,0.66179985,0.942629,0.1,40
2,6,0.88347596,0.9615172,0.1,40
3,10,0.9728952,0.9798536,0.1,40
4,18,0.9901175,0.9915382,0.1,40
5,genome_wide,0.46672204,0.95339113,0.1,40
0,3,0.33766544,0.9265216,0.03,10
1,4,0.6233819,0.93980527,0.03,10
2,6,0.8540513,0.9597549,0.03,10
3,10,0.96942455,0.9796875,0.03,10
4,18,0.9907641,0.99180824,0.03,10
5,genome_wide,0.4732789,0.9487422,0.03,10
0,3,0.01579575,,0.0,160
1,4,0.15079115,0.93827254,0.0,160
2,6,0.7072895,0.9521107,0.0,160
3,10,0.94907004,0.9749097,0.0,160
4,18,0.9873436,0.9906134,0.0,160
5,genome_wide,0.27701995,0.96121347,0.0,160
0,3,0.33766544,0.9265216,0.03,3
1,4,0.6233819,0.93980527,0.03,3
2,6,0.8540513,0.9597549,0.03,3
3,10,0.96942455,0.9796875,0.03,3
4,18,0.9907641,0.99180824,0.03,3
5,genome_wide,0.4732789,0.9487422,0.03,3
0,3,0.27636835,0.9277636,0.01,10
1,4,0.5479869,0.9386538,0.01,10
2,6,0.81355673,0.95586777,0.01,10
3,10,0.9621698,0.97780293,0.01,10
4,18,0.9897125,0.99114597,0.01,10
5,genome_wide,0.43480936,0.9485502,0.01,10
0,3,0.21889077,0.9288692,0.0,10
1,4,0.47246647,0.93704563,0.0,10
2,6,0.76795405,0.9520738,0.0,10
3,10,0.95009744,0.9749097,0.0,10
4,18,0.9873436,0.9906134,0.0,10
5,genome_wide,0.39636347,0.94815224,0.0,10
0,3,0.014708081,,0.1,80
1,4,0.11597508,0.94634926,0.1,80
2,6,0.768023,0.9621683,0.1,80
3,10,0.97259533,0.9798536,0.1,80
4,18,0.9901175,0.9915382,0.1,80
5,genome_wide,0.28307766,0.9694459,0.1,80
0,3,0.30811164,0.92548436,0.1,3
1,4,0.6639796,0.9426376,0.1,3
2,6,0.8836209,0.9615172,0.1,3
3,10,0.9729008,0.9798536,0.1,3
4,18,0.9901175,0.9915382,0.1,3
5,genome_wide,0.47552484,0.95173657,0.1,3
0,3,0.029690579,0.91320616,0.3,20
1,4,0.15832745,0.94177955,0.3,20
2,6,0.688151,0.9518493,0.3,20
3,10,0.9527404,0.96778554,0.3,20
4,18,0.97968733,0.9860718,0.3,20
5,genome_wide,0.28063387,0.95728683,0.3,20
0,3,0.21889077,0.9288692,0.0,40
1,4,0.47246647,0.93704563,0.0,40
2,6,0.76795405,0.9520738,0.0,40
3,10,0.95009744,0.9749097,0.0,40
4,18,0.9873436,0.9906134,0.0,40
5,genome_wide,0.39636347,0.94815224,0.0,40
0,3,0.13888004,0.92257875,0.03,80
1,4,0.54567677,0.93990356,0.03,80
2,6,0.8506556,0.9597549,0.03,80
3,10,0.96935374,0.9796875,0.03,80
4,18,0.9907641,0.99180824,0.03,80
5,genome_wide,0.40057516,0.9565678,0.03,80
0,3,0.032987643,0.9127519,0.3,15
1,4,0.15919825,0.9417515,0.3,15
2,6,0.688151,0.9518493,0.3,15
3,10,0.9527404,0.96778554,0.3,15
4,18,0.97968733,0.9860718,0.3,15
5,genome_wide,0.2817975,0.95703316,0.3,15
0,3,0.21889077,0.9288692,0.0,3
1,4,0.47246647,0.93704563,0.0,3
2,6,0.76795405,0.9520738,0.0,3
3,10,0.95009744,0.9749097,0.0,3
4,18,0.9873436,0.9906134,0.0,3
5,genome_wide,0.39636347,0.94815224,0.0,3
0,3,0.2763672,0.9277636,0.01,40
1,4,0.5479869,0.9386538,0.01,40
2,6,0.81355673,0.95586777,0.01,40
3,10,0.9621698,0.97780293,0.01,40
4,18,0.9897125,0.99114597,0.01,40
5,genome_wide,0.43480843,0.9485502,0.01,40
0,3,0.010037533,,0.01,160
1,4,0.0544273,0.9395641,0.01,160
2,6,0.636396,0.95694876,0.01,160
3,10,0.9609439,0.97780293,0.01,160
4,18,0.9897125,0.99114597,0.01,160
5,genome_wide,0.24893358,0.9684664,0.01,160
0,3,0.22046211,0.9275244,0.01,80
1,4,0.53364784,0.9386177,0.01,80
2,6,0.81221044,0.95586777,0.01,80
3,10,0.9621142,0.97780293,0.01,80
4,18,0.9897125,0.99114597,0.01,80
5,genome_wide,0.40899828,0.95272696,0.01,80
0,3,0.032987643,0.9127519,0.3,3
1,4,0.15919825,0.9417515,0.3,3
2,6,0.688151,0.9518493,0.3,3
3,10,0.9527404,0.96778554,0.3,3
4,18,0.97968733,0.9860718,0.3,3
5,genome_wide,0.2817975,0.95703316,0.3,3
0,3,0.2090291,0.9288975,0.0,80
1,4,0.46912342,0.93704563,0.0,80
2,6,0.767501,0.9520738,0.0,80
3,10,0.9500551,0.9749097,0.0,80
4,18,0.9873436,0.9906134,0.0,80
5,genome_wide,0.3891098,0.9502525,0.0,80
0,3,0.33765507,0.9265216,0.03,40
1,4,0.6233751,0.93980527,0.03,40
2,6,0.8540513,0.9597549,0.03,40
3,10,0.96942455,0.9796875,0.03,40
4,18,0.9907641,0.99180824,0.03,40
5,genome_wide,0.4731138,0.9488186,0.03,40
0,3,0.30811164,0.92548436,0.1,10
1,4,0.6639796,0.9426376,0.1,10
2,6,0.8836209,0.9615172,0.1,10
3,10,0.9729008,0.9798536,0.1,10
4,18,0.9901175,0.9915382,0.1,10
5,genome_wide,0.47552484,0.95173657,0.1,10
0,3,0.27636835,0.9277636,0.01,3
1,4,0.5479869,0.9386538,0.01,3
2,6,0.81355673,0.95586777,0.01,3
3,10,0.9621698,0.97780293,0.01,3
4,18,0.9897125,0.99114597,0.01,3
5,genome_wide,0.43480936,0.9485502,0.01,3
